Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,SportModel,
ttu,Running,2025-12-15,20:18:18,00:30:07,0.00000,151,,,,,,,,,,,,,,,,170,60,159,46,,,
Time,Second,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (cm),Distances (km),Temperatures (C),Power (W),Breathe,Breathe Rate,Breathe Ratio,Steps,,,,,,,,,,,,
device name,mac,version,model,,,,,,,,,,,
BRX58826,CA:E5:E9:BA:9C:02,1.2.4,,,,,,,,,,,,
20:18:18,0,123,0.00,0'0",0,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:19,1,122,0.00,0'0",0,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:20,2,120,0.00,0'0",0,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:21,3,119,0.00,0'0",0,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:22,4,118,0.00,0'0",0,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:23,5,117,0.00,0'0",0,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:24,6,116,0.00,0'0",0,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:25,7,116,0.00,0'0",0,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:26,8,116,0.00,0'0",65,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:27,9,116,0.00,0'0",117,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:28,10,117,0.00,0'0",137,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:29,11,120,0.00,0'0",162,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:30,12,120,0.00,0'0",166,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:31,13,121,0.00,0'0",168,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:32,14,121,0.00,0'0",170,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:33,15,123,0.00,0'0",172,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
20:18:34,16,123,0.00,0'0",172,,0,0.00000,,,0,0,0.00,0,,,,,,,,,,,,,,
